"Source:","C:\Users\matth\Documents\GitHub\Openmower-for-Landroid-WR141E\Hardware\MCF8316A\MCF8316A Module\MCF8316A Module.kicad_sch"
"Date:","30/11/2023 17:51:32"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","25"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Digikey"
"1","1","C1","1uF 50v","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","1276-1029-1-ND"
"2","1","C2","47nF 50V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","1276-1250-1-ND"
"3","1","C3","0.1uf 50v","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","1276-1003-1-ND"
"4","1","C4","330uf 50v","Device:C_Polarized","Capacitor_SMD:C_Elec_10x10.2","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/935/MZR_Series_DS.pdf","","565-EMZR500ARA331MJA0GCT-ND"
"5","1","C5","22uF 10v","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","1276-2910-1-ND"
"6","1","C6","1uF 6.3V","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","399-13161-1-ND"
"7","1","C7","1uF 6.3v","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","399-13161-1-ND"
"8","1","D1","3mm Red","Device:LED","LED_THT:LED_D3.0mm","~","","1080-1048-1-ND"
"9","1","D2","3mm Grn","Device:LED","LED_THT:LED_D3.0mm","~","","516-1792-1-ND"
"10","4","FID1, FID2, FID3, FID4","Fiducial","Mechanical:Fiducial","","~","",""
"11","5","J1, J2, J3, J4, J5","Conn_01x04_Pin","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","952-3273-ND"
"12","1","J6","Conn_01x10_Pin","Connector:Conn_01x10_Pin","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","",""
"13","1","R1","22R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","RMCF0805FT22R0CT-ND"
"14","1","R2","1.54k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","RMCF0805FT1K54CT-ND"
"15","2","R3, R4","5k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","541-CRCW08055K00FKTACT-ND"
"16","1","R5","1.6k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","RMCF0805FT1K60CT-ND"
"17","1","U1","MCF8316A1VRGFR","MCF8316A:MCF8316A1VRGFR","VQFN40_RGF_TEX","MCF8316A1VRGFR","","296-MCF8316A1VRGFRCT-ND"
